pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,eff,mean_norm
0.01,0.1,0.05,0,0.01,0.1,0.05,0.05,0.970691045,4.35E+147
0.01,0.1,0.05,0.05,0.01,0.3,0.05,0.05,0.987216803,4.28E+147
0.01,0.1,0.05,0.1,0.011538462,0.1,0.05,0.1,0.9948472,4.25E+147
0.01,0.1,0.05,0.15,0.01,0.1,0.05,0.15,0.987216803,4.28E+147
0.01,0.1,0.2,0,0.011538462,0.1,0.2,0.05,0.260612892,1.62E+148
0.01,0.1,0.2,0.05,0.01,0.1,0.2,0.05,1,4.23E+147
0.01,0.1,0.2,0.1,0.01,0.1,0.2,0.1,0.041013885,1.03E+149
0.01,0.1,0.2,0.15,0.011538462,0.1,0.2,0.15,0.982194569,4.30E+147
0.01,0.1,0.4,0,0.013076923,0.1,0.4,0.05,0.05306767,7.96E+148
0.01,0.1,0.4,0.05,0.01,0.1,0.4,0.05,1,4.23E+147
0.01,0.1,0.4,0.1,0.011538462,0.1,0.4,0.1,0.89724533,4.71E+147
0.01,0.1,0.4,0.15,0.01,0.1,0.4,0.15,0.971912663,4.35E+147
0.01,0.1,0.6,0,0.011538462,0.1,0.4,0,0.039020277,1.08E+149
0.01,0.1,0.6,0.05,0.01,0.1,0.6,0.05,0.526057576,8.03E+147
0.01,0.1,0.6,0.1,0.01,0.1,0.6,0.1,0.041448467,1.02E+149
0.01,0.1,0.6,0.15,0.01,0.1,0.6,0.15,0.9276052,4.56E+147
0.01,0.3,0.05,0,0.011538462,0.1,0.2,0,0.039865991,1.06E+149
0.01,0.3,0.05,0.05,0.01,0.3,0.05,0.05,0.983445331,4.30E+147
0.01,0.3,0.05,0.1,0.011538462,0.3,0.05,0.1,0.996130415,4.24E+147
0.01,0.3,0.05,0.15,0.01,0.3,0.05,0.15,0.611139903,6.91E+147
0.01,0.3,0.2,0,0.01,0.3,0.2,0.05,0.979307429,4.32E+147
0.01,0.3,0.2,0.05,0.011538462,0.3,0.2,0.05,0.045568296,9.27E+148
0.01,0.3,0.2,0.1,0.01,0.3,0.2,0.1,0.061865416,6.83E+148
0.01,0.3,0.2,0.15,0.01,0.3,0.2,0.15,0.947310435,4.46E+147
0.01,0.3,0.4,0,0.01,0.1,0.6,0,0.047722409,8.86E+148
0.01,0.3,0.4,0.05,0.011538462,0.5,0.4,0.05,0.982194569,4.30E+147
0.01,0.3,0.4,0.1,0.011538462,0.3,0.4,0.1,0.042865909,9.86E+148
0.01,0.3,0.4,0.15,0.011538462,0.3,0.4,0.15,0.584697122,7.23E+147
0.01,0.3,0.6,0,0.011538462,0.3,0.6,0.05,0.041520786,1.02E+149
0.01,0.3,0.6,0.05,0.01,0.1,0.6,0.05,1,4.23E+147
0.01,0.3,0.6,0.1,0.01,0.3,0.6,0.1,0.572535801,7.38E+147
0.01,0.3,0.6,0.15,0.01,0.3,0.6,0.15,0.938264039,4.50E+147
0.01,0.5,0.05,0,0.013076923,0.5,0.05,0,0.040969879,1.03E+149
0.01,0.5,0.05,0.05,0.011538462,0.5,0.05,0.05,0.9948472,4.25E+147
0.01,0.5,0.05,0.1,0.013076923,0.5,0.05,0.1,0.042113321,1.00E+149
