number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,4.108210054405227e-05,2025-08-19 09:07:48.657006,2025-08-19 09:07:53.632840,0 days 00:00:04.975834,0.05359938630957627,0.2516579921315017,0.00033494763250728753,0.05701699487656692,400,COMPLETE
1,0.00010788439983115394,2025-08-19 09:07:53.633128,2025-08-19 09:07:59.153005,0 days 00:00:05.519877,0.04534105901236202,0.7127451983581203,0.001478348720318866,0.14802990406254907,1000,COMPLETE
2,0.0016450887912529064,2025-08-19 09:07:59.153220,2025-08-19 09:08:04.141809,0 days 00:00:04.988589,0.046683489431266045,0.6407859529205457,0.05090834359713046,0.5644970878731856,900,COMPLETE
3,8.432378155162096e-05,2025-08-19 09:08:04.142037,2025-08-19 09:08:09.646987,0 days 00:00:05.504950,0.06324290136051078,0.780110338488362,0.00040583953093409504,0.4453204761116999,1000,COMPLETE
4,0.0003220806537549121,2025-08-19 09:08:09.647220,2025-08-19 09:08:12.407581,0 days 00:00:02.760361,0.010424604641650376,0.2313967569352639,0.015055103611304363,0.35660982292158977,500,COMPLETE
5,5.41986163086906e-05,2025-08-19 09:08:12.407784,2025-08-19 09:08:17.359375,0 days 00:00:04.951591,0.0630827881815675,0.15693323856315872,0.009746983509869528,0.43760459836662047,900,COMPLETE
6,6.678515693578576e-05,2025-08-19 09:08:17.359633,2025-08-19 09:08:22.313752,0 days 00:00:04.954119,0.05334934663012442,0.16422432800958225,0.001212263038588359,0.45136104776628927,900,COMPLETE
7,0.0007869987030615054,2025-08-19 09:08:22.313984,2025-08-19 09:08:26.722108,0 days 00:00:04.408124,0.03226568543252592,0.6599109397994851,0.00016840480793053273,0.05852541394373233,800,COMPLETE
8,0.0006430207160887185,2025-08-19 09:08:26.722335,2025-08-19 09:08:28.940494,0 days 00:00:02.218159,0.04103290565177832,0.5761381763880056,0.11581551767886897,0.07283772898653798,400,COMPLETE
9,7.041526432068495e-05,2025-08-19 09:08:28.940730,2025-08-19 09:08:32.792893,0 days 00:00:03.852163,0.06042252785878087,0.1710174159417635,0.0007582100790745006,0.22144174225661256,700,COMPLETE
10,0.0011629439552752244,2025-08-19 09:08:32.793102,2025-08-19 09:08:37.758221,0 days 00:00:04.965119,0.05325201628945472,0.6673078453670921,0.19207022748840483,0.4935793055837551,900,COMPLETE
11,0.00018639280365531074,2025-08-19 09:08:37.758445,2025-08-19 09:08:42.202763,0 days 00:00:04.444318,0.05063597439004378,0.7169999414090032,0.25553414826589693,0.5048540612750222,800,COMPLETE
12,0.0011933683116608492,2025-08-19 09:08:42.203006,2025-08-19 09:08:47.701819,0 days 00:00:05.498813,0.023405653654436632,0.6878000765634905,0.17150666443936102,0.4205384085725615,1000,COMPLETE
13,0.0014220317123835608,2025-08-19 09:08:47.702050,2025-08-19 09:08:52.679622,0 days 00:00:04.977572,0.02241199555964537,0.5658680002843539,0.1767579959126869,0.3263168457498423,900,COMPLETE
14,0.0024606820560124443,2025-08-19 09:08:52.679858,2025-08-19 09:08:56.545556,0 days 00:00:03.865698,0.026589672092813113,0.4851822070552706,0.13924100518765745,0.2970027983357875,700,COMPLETE
15,0.001508634300997912,2025-08-19 09:08:56.545764,2025-08-19 09:08:59.892117,0 days 00:00:03.346353,0.03807150294612226,0.34604113470962655,0.14744883353998864,0.2881380212624972,600,COMPLETE
16,0.0007112463894835639,2025-08-19 09:08:59.892353,2025-08-19 09:09:03.755148,0 days 00:00:03.862795,0.03159780210313545,0.29737923524892673,0.08532088353797208,0.5644416267554823,700,COMPLETE
17,0.00019837129857007193,2025-08-19 09:09:03.755383,2025-08-19 09:09:09.256477,0 days 00:00:05.501094,0.04182081570199149,0.5927929403659942,0.0049601554984102505,0.5086200569554234,1000,COMPLETE
18,0.00047280272068538336,2025-08-19 09:09:09.256702,2025-08-19 09:09:12.584684,0 days 00:00:03.327982,0.027035857760647763,0.5387354492458213,0.004364790305561988,0.21674160638100956,600,COMPLETE
19,0.000414312190113611,2025-08-19 09:09:12.584907,2025-08-19 09:09:15.925852,0 days 00:00:03.340945,0.03549451250068475,0.6815496820256474,0.0017777214549785979,0.5872461900699393,600,COMPLETE
20,7.970614477547165e-05,2025-08-19 09:09:15.926085,2025-08-19 09:09:20.901555,0 days 00:00:04.975470,0.057991263576347714,0.4046047225198367,0.1336224227815308,0.2884398395345463,900,COMPLETE
21,0.0012223453266041564,2025-08-19 09:09:20.901793,2025-08-19 09:09:24.764983,0 days 00:00:03.863190,0.024077446689111492,0.17538018287266455,0.2892410769703662,0.29896821831636883,700,COMPLETE
22,2.742640414285853e-05,2025-08-19 09:09:24.765207,2025-08-19 09:09:27.544550,0 days 00:00:02.779343,0.05677514807112284,0.4003711939206161,0.27206394605017303,0.3020601528394237,500,COMPLETE
23,0.0011034381935921221,2025-08-19 09:09:27.544771,2025-08-19 09:09:30.875142,0 days 00:00:03.330371,0.014752465253708234,0.7299170039058298,0.16011612834942807,0.14991142996765894,600,COMPLETE
