number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.06855559341191439,2025-08-19 05:43:47.063094,2025-08-19 05:43:53.580283,0 days 00:00:06.517189,0.045406430579097615,0.4406053961775056,0.006869402707534468,0.4382659272376105,600,COMPLETE
1,0.10183020691827158,2025-08-19 05:43:53.580559,2025-08-19 05:43:59.240011,0 days 00:00:05.659452,0.03792910202743599,0.14027060408840814,0.049425827074339415,0.3225878102307537,900,COMPLETE
2,0.07853482715880923,2025-08-19 05:43:59.240247,2025-08-19 05:44:03.030254,0 days 00:00:03.790007,0.05230536894746906,0.23421602592073093,0.050726511012782236,0.5166788402403483,600,COMPLETE
3,0.0739855804942528,2025-08-19 05:44:03.030454,2025-08-19 05:44:05.559553,0 days 00:00:02.529099,0.02530502417530197,0.22090536956001788,0.0004379364347734657,0.1746125360003238,400,COMPLETE
4,0.09157125888276735,2025-08-19 05:44:05.559773,2025-08-19 05:44:09.342481,0 days 00:00:03.782708,0.04581987207677682,0.5792398557319041,0.0005975897737423087,0.1030807537712777,600,COMPLETE
5,0.09501741867969267,2025-08-19 05:44:09.342678,2025-08-19 05:44:13.135614,0 days 00:00:03.792936,0.06989051822392843,0.71919026180646,0.00018354986859419353,0.20545234906797422,600,COMPLETE
6,0.060820241008474996,2025-08-19 05:44:13.135821,2025-08-19 05:44:18.183449,0 days 00:00:05.047628,0.032133516590785116,0.5604144891012358,0.25539989749208175,0.5623903737398932,800,COMPLETE
7,0.07771651114871711,2025-08-19 05:44:18.183674,2025-08-19 05:44:21.961466,0 days 00:00:03.777792,0.04435099832178193,0.6845487086093884,0.004142851890125648,0.1429077122014484,600,COMPLETE
8,0.04788091754405482,2025-08-19 05:44:21.961695,2025-08-19 05:44:25.745463,0 days 00:00:03.783768,0.033002587813312355,0.614528452494825,0.016346266196334745,0.5817069215227318,600,COMPLETE
9,0.07962456639097833,2025-08-19 05:44:25.745663,2025-08-19 05:44:28.280832,0 days 00:00:02.535169,0.02515901284539282,0.6403103484932815,0.027719817786361046,0.2973014336523223,400,COMPLETE
10,0.08055420728519325,2025-08-19 05:44:28.281066,2025-08-19 05:44:34.554040,0 days 00:00:06.272974,0.03351405210290436,0.3656011284627809,0.02713555958183322,0.3189972838651856,1000,COMPLETE
11,0.09613174452521091,2025-08-19 05:44:34.554276,2025-08-19 05:44:38.965176,0 days 00:00:04.410900,0.06241470832554734,0.5529503555286825,0.00030681014591071447,0.32608366410187273,700,COMPLETE
12,0.09300722909564252,2025-08-19 05:44:38.965404,2025-08-19 05:44:43.995867,0 days 00:00:05.030463,0.060141664731978406,0.4937934052489964,0.00019332971829237993,0.3994352274395707,800,COMPLETE
13,0.08529561096155786,2025-08-19 05:44:43.996097,2025-08-19 05:44:48.403040,0 days 00:00:04.406943,0.021510311327775953,0.07116282519509518,0.197706315070147,0.4564165163489697,700,COMPLETE
14,0.09328817135050002,2025-08-19 05:44:48.403271,2025-08-19 05:44:53.408847,0 days 00:00:05.005576,0.059516615297790405,0.23896355327748997,0.04108178463588163,0.20201679067859638,800,COMPLETE
15,0.06607908130308932,2025-08-19 05:44:53.409042,2025-08-19 05:44:57.176002,0 days 00:00:03.766960,0.03716161377205292,0.6453328530685883,0.00011930831230475061,0.3527807214095537,600,COMPLETE
16,0.06929770825607955,2025-08-19 05:44:57.176216,2025-08-19 05:45:00.329901,0 days 00:00:03.153685,0.06714634886844771,0.36233961175721063,0.0014917069028857028,0.32979735310717934,500,COMPLETE
17,0.09679941588998071,2025-08-19 05:45:00.330122,2025-08-19 05:45:06.620213,0 days 00:00:06.290091,0.022209480266462727,0.05966166125837327,0.010735145788341643,0.23424556846366196,1000,COMPLETE
18,0.11384869623499498,2025-08-19 05:45:06.620425,2025-08-19 05:45:12.915570,0 days 00:00:06.295145,0.02650476359085198,0.07738648958318511,0.0025682798851137576,0.28324038503096954,1000,COMPLETE
19,0.07007312867787503,2025-08-19 05:45:12.915809,2025-08-19 05:45:17.959198,0 days 00:00:05.043389,0.029386180892205693,0.15270132766361474,0.0005706149166187644,0.41460383320383576,800,COMPLETE
20,0.09954183757645228,2025-08-19 05:45:17.959398,2025-08-19 05:45:22.388352,0 days 00:00:04.428954,0.015820479091941522,0.3135298263353551,0.04337030840804046,0.24100663920020654,700,COMPLETE
21,0.08640814104095075,2025-08-19 05:45:22.388580,2025-08-19 05:45:26.184879,0 days 00:00:03.796299,0.012319231896974429,0.24100550686472239,0.051903426611030264,0.17898019756344058,600,COMPLETE
