metric,value
valid_outputs,38800
min_mc_norm,4.225869259423829e+147
max_mc_norm,2.771839402831944e+149
best_cim_norm,4.225869259423844e+147
mean_cim_norm,5.266285067284225e+148
best_percentile_uniform,0.06184
mean_percentile_uniform_of_mean,0.24642
quantile_10percent,4.225869259423844e+147
quantile_25percent,4.225869259423844e+147
quantile_50percent,4.225869259423844e+147
quantile_75percent,8.161105339328925e+148
quantile_90percent,1.8997902739615151e+149
within_1.0x_min_mc,0.0
within_1.1x_min_mc,0.5040463917525774
within_1.5x_min_mc,0.5805412371134021
within_2.0x_min_mc,0.5805412371134021
max_abs_scale_for_G,9.56218852161291e+297
sim_time_sec,1550.369735956192
