Q,gamma,outer_iter,n_trials_alloc,best_trial_idx,best_params_json,best_norm,best_vec_json,vectors_replaced,init_shortest_norm,opt_shortest_norm,efficiency,abs_efficiency,elapsed_s
2,0.08,0,300,103,"{""dt"":0.0658677925655895,""pump"":0.7326656340562109,""beta"":0.13965176995842946,""noise"":0.011163904269054694}",8.331337083431848e+146,"[-690013271106606874786466693078733871123457602520558857288283632306788388747339299010255988844038682222494476242491629615413106471471223340677076138012,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,-1,-2,0,0,0,0,0,0]",0,9.915380102491617e+147,4.630764056175874e+146,1.7991279586617375,1.7005903854807768e+148,8.098083019256592
2,0.08,1,300,217,"{""dt"":0.033332837171571615,""pump"":0.7584362691075468,""beta"":0.17582727808063492,""noise"":0.0012517633038882506}",3.4396053350542765e+147,"[-843123936787233530285572020067236990805704119151923004188810957154299619292033846248490187897211583803376390772842859027955219318877170753362515799836,0,0,-1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,0]",0,9.915380102491617e+147,4.630764056175874e+146,7.427727462095603,7.020913574933902e+148,16.122446060180664
2,0.08,2,300,292,"{""dt"":0.022977198964753368,""pump"":0.7891004670631505,""beta"":0.17612250398114315,""noise"":0.004563535925592234}",1.2663488518043804e+147,"[221228374032289992123914791214661153273954146742614739994709426530397385747998400192037099788699265281851713610470310209237830829117961035244628693009,0,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,0,0,0,0,0]",1,9.915380102491617e+147,4.630764056175874e+146,2.734643433442693,2.5848680235562657e+148,24.118846893310547
2,0.08,3,300,191,"{""dt"":0.025884208653804565,""pump"":0.7908174592810453,""beta"":0.18907558758146792,""noise"":0.0146036853501005}",3.944982960263493e+147,"[548179139474262090539172764475061356038813095902136064571176704206173669564007851023610083214197611885619479377780490844648009854622467897972089760320,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2,0,0,0,0,0,0]",0,9.915380102491617e+147,2.6634272549269966e+147,1.4811679023580555,1.0741359787226815e+148,32.12419104576111
2,0.08,4,300,119,"{""dt"":0.03044554695664646,""pump"":0.766275466221961,""beta"":0.22275647343487137,""noise"":0.014844504964455767}",2.30346002691035e+147,"[-7416705327449287588099756404239220605417130304314154543613462133045386819866971000156554497547781528221935723535936308243873986556670189998848917458,0,0,-3,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,0,0,0,0,2,0,0,0,0,0,0]",1,9.915380102491617e+147,2.6634272549269966e+147,0.8648481097613033,6.271837712294363e+147,40.18102979660034
2,0.08,5,300,272,"{""dt"":0.02345064857294194,""pump"":0.7946878938499182,""beta"":0.16136201231041444,""noise"":0.015344977522887108}",1.886011561488422e+147,"[711733430210408422313103569334461456649858929637418480086118041582503108567971215851409158961367888878254564881664980152414165024525936725498810170730,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,0,0,-1,0,0,0,0,0,0,0]",0,7.416705327449288e+147,7.374823590290578e+146,2.557364984257353,1.7081210941485354e+148,48.15104794502258
2,0.08,6,300,124,"{""dt"":0.028172201380759612,""pump"":0.7848228966658305,""beta"":0.1593249833970624,""noise"":0.016289626740641407}",9.17789774346256e+147,"[340398341200794033593631800385017602810828402701332242249566512725559155915066634003391927992190395408280554021766822929676621161035427049645812704232,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-2,0,0,0,1,-5,0,0,0,0,0,0]",0,7.416705327449288e+147,7.374823590290578e+146,12.44490479141202,8.312229392260213e+148,56.10048294067383
2,0.08,7,300,225,"{""dt"":0.05010405036475997,""pump"":0.7848730351309312,""beta"":0.23758683116974288,""noise"":0.004691543968507546}",3.290938848021836e+147,"[-428919222647036640102912084716609175396978613785891783084232614867245814987707388824312883834084298480364775560467726437134780126198090385111253131198,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-2,0,0,0,-1,-3,0,0,0,0,0,0]",0,7.416705327449288e+147,7.374823590290578e+146,4.4623967037727725,2.980534255804183e+148,64.07893490791321
2,0.08,8,300,171,"{""dt"":0.07258339792512554,""pump"":0.7837785947679273,""beta"":0.39303685769602953,""noise"":0.010091676136324654}",4.488470346234046e+146,"[-495429779352505806121851496095122623506305110241114017132406052337225304983628679235243025247674594601072693500425987115595481568449432622840520097055,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,-1,-1,0,0,0,0,0,0]",0,7.416705327449288e+147,7.374823590290578e+146,0.6086207068252318,4.065113404083243e+147,72.0402319431305
2,0.08,9,300,207,"{""dt"":0.06447018761865632,""pump"":0.7776237006787909,""beta"":0.37580302489939416,""noise"":0.010870638528095687}",2.5856205673597065e+147,"[-477458083570491781075729915762968899556049296277839471733361845008231045735601708003338708909420197087080484606891154068142814901830251304478974933844,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-2,0,0,0,-1,-5,0,0,0,0,0,0]",0,7.416705327449288e+147,7.374823590290578e+146,3.5060100566525274,2.3417422897905872e+148,79.98436999320984
