outer_iter,best_avg,opt_avg
0,6.198491654575344e+147,4.630764056175874e+146
1,1.1640596153775267e+147,4.630764056175873e+146
2,1.1640596153775267e+147,4.630764056175873e+146
3,1.1640596153775267e+147,4.630764056175873e+146
4,6.250903501917148e+146,4.630764056175873e+146
5,6.250903501917148e+146,4.630764056175873e+146
6,6.250903501917148e+146,4.630764056175873e+146
7,6.250903501917148e+146,4.630764056175873e+146
8,4.329470133318247e+146,4.630764056175873e+146
9,2.6427171698825387e+146,4.630764056175873e+146
10,2.6427171698825387e+146,4.630764056175873e+146
11,2.6427171698825387e+146,4.630764056175873e+146
12,2.6427171698825387e+146,4.630764056175873e+146
13,2.6427171698825387e+146,4.630764056175873e+146
14,2.6427171698825387e+146,4.630764056175873e+146
15,2.6427171698825387e+146,4.630764056175873e+146
16,9.433685134955257e+145,4.630764056175873e+146
17,9.433685134955257e+145,4.630764056175873e+146
18,9.433685134955257e+145,4.630764056175873e+146
19,9.433685134955257e+145,4.630764056175873e+146
20,9.433685134955257e+145,4.630764056175873e+146
21,9.433685134955257e+145,4.630764056175873e+146
22,9.433685134955257e+145,2.9804173667631595e+146
23,9.433685134955257e+145,2.9804173667631595e+146
24,9.433685134955257e+145,2.9804173667631595e+146
25,9.433685134955257e+145,2.9804173667631595e+146
26,7.589990110534835e+145,1.0255523529631907e+146
27,7.589990110534835e+145,1.0255523529631907e+146
28,7.47126698399413e+145,1.0255523529631907e+146
29,7.47126698399413e+145,1.0255523529631907e+146
30,7.47126698399413e+145,5.71510361823903e+145
31,5.715103618239031e+145,5.71510361823903e+145
32,2.2411894016724878e+145,5.71510361823903e+145
33,2.0568877802591674e+145,5.71510361823903e+145
34,2.0568877802591674e+145,5.71510361823903e+145
35,2.0568877802591674e+145,5.71510361823903e+145
36,2.0568877802591674e+145,5.71510361823903e+145
37,2.0568877802591674e+145,5.71510361823903e+145
38,2.0568877802591674e+145,5.71510361823903e+145
39,2.0568877802591674e+145,5.71510361823903e+145
40,2.0568877802591674e+145,5.71510361823903e+145
41,2.0568877802591674e+145,5.71510361823903e+145
42,2.0568877802591674e+145,5.71510361823903e+145
43,2.0568877802591674e+145,5.71510361823903e+145
44,2.0568877802591674e+145,5.71510361823903e+145
45,2.0568877802591674e+145,5.71510361823903e+145
46,2.0568877802591674e+145,5.71510361823903e+145
47,2.0568877802591674e+145,5.71510361823903e+145
48,2.012908874354485e+145,5.71510361823903e+145
49,2.012908874354485e+145,5.71510361823903e+145
50,2.012908874354485e+145,5.71510361823903e+145
51,2.012908874354485e+145,5.71510361823903e+145
52,2.012908874354485e+145,5.71510361823903e+145
53,2.012908874354485e+145,5.71510361823903e+145
54,2.012908874354485e+145,4.110802500145766e+145
55,2.012908874354485e+145,4.110802500145766e+145
56,2.012908874354485e+145,4.110802500145766e+145
57,2.012908874354485e+145,4.110802500145766e+145
58,2.012908874354485e+145,4.110802500145766e+145
59,2.012908874354485e+145,2.196403461793869e+145
60,2.012908874354485e+145,2.196403461793869e+145
61,2.012908874354485e+145,2.196403461793869e+145
62,2.012908874354485e+145,1.3257214114855423e+145
63,2.012908874354485e+145,1.3257214114855423e+145
64,2.012908874354485e+145,1.3257214114855423e+145
65,2.012908874354485e+145,9.319611764274157e+144
66,1.0063913652924244e+145,9.319611764274157e+144
67,9.426837352917747e+144,9.319611764274157e+144
68,9.426837352917747e+144,9.319611764274157e+144
69,9.426837352917747e+144,9.319611764274157e+144
70,7.764177449548536e+144,9.319611764274157e+144
71,1.978424965416729e+144,9.319611764274157e+144
72,1.978424965416729e+144,9.319611764274157e+144
73,1.978424965416729e+144,9.319611764274157e+144
74,1.978424965416729e+144,9.319611764274157e+144
75,1.978424965416729e+144,9.319611764274157e+144
76,1.978424965416729e+144,9.319611764274157e+144
77,1.978424965416729e+144,9.319611764274157e+144
78,1.978424965416729e+144,9.319611764274157e+144
79,1.978424965416729e+144,9.319611764274157e+144
80,1.978424965416729e+144,9.319611764274157e+144
81,1.3096923544083871e+144,9.319611764274157e+144
82,1.3096923544083871e+144,9.319611764274157e+144
83,1.3096923544083871e+144,9.319611764274157e+144
84,1.3096923544083871e+144,9.319611764274157e+144
85,1.3096923544083871e+144,9.319611764274157e+144
86,1.3096923544083871e+144,9.319611764274157e+144
87,1.3096923544083871e+144,9.319611764274157e+144
88,1.3096923544083871e+144,9.319611764274157e+144
89,1.3096923544083871e+144,9.319611764274157e+144
90,1.3096923544083871e+144,9.319611764274157e+144
91,1.3096923544083871e+144,9.319611764274157e+144
92,1.3096923544083871e+144,9.319611764274157e+144
93,1.319620698076421e+143,9.319611764274157e+144
