number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.003855510136897894,2025-08-19 06:44:30.303432,2025-08-19 06:44:35.211162,0 days 00:00:04.907730,0.0663608042903965,0.305210996172992,0.003969672536160391,0.5035184260996822,400,COMPLETE
1,0.0036361693019926204,2025-08-19 06:44:35.211481,2025-08-19 06:44:37.906814,0 days 00:00:02.695333,0.048585522042128536,0.45271451021258763,0.1877242549719796,0.38499053025198193,500,COMPLETE
2,0.006907497353276101,2025-08-19 06:44:37.907028,2025-08-19 06:44:42.224303,0 days 00:00:04.317275,0.056041818484633237,0.7231302825219293,0.004870704774675917,0.5086115663320719,800,COMPLETE
3,0.0006162384639751208,2025-08-19 06:44:42.224501,2025-08-19 06:44:44.399150,0 days 00:00:02.174649,0.044534273895603646,0.08018087236175254,0.00011861229793817517,0.5955962041079931,400,COMPLETE
4,0.003905565258047261,2025-08-19 06:44:44.399388,2025-08-19 06:44:47.102293,0 days 00:00:02.702905,0.025238761302672785,0.7100246394805056,0.00026443311217156995,0.05192101148909986,500,COMPLETE
5,0.0022113573402700024,2025-08-19 06:44:47.102521,2025-08-19 06:44:51.404847,0 days 00:00:04.302326,0.0337187325217741,0.24066508005242238,0.0010118753180017653,0.25753515116486186,800,COMPLETE
6,0.003751785076970138,2025-08-19 06:44:51.405054,2025-08-19 06:44:55.176991,0 days 00:00:03.771937,0.050630752639727564,0.6367958615191907,0.00017883218950729898,0.5001141850066125,700,COMPLETE
7,0.001980123271748789,2025-08-19 06:44:55.177213,2025-08-19 06:44:59.487127,0 days 00:00:04.309914,0.04337375720470024,0.19534682374919238,0.00013796427671709154,0.5409755117401259,800,COMPLETE
8,0.006053062947347951,2025-08-19 06:44:59.487360,2025-08-19 06:45:03.785773,0 days 00:00:04.298413,0.05893064926346317,0.7904494586126137,0.006294069074816673,0.06837624880554698,800,COMPLETE
9,0.011277353468712854,2025-08-19 06:45:03.786014,2025-08-19 06:45:07.036359,0 days 00:00:03.250345,0.042772782418440645,0.4637801139861914,0.10580571428115636,0.5219255057680396,600,COMPLETE
10,0.01210061966689938,2025-08-19 06:45:07.036576,2025-08-19 06:45:11.890343,0 days 00:00:04.853767,0.03646093233072882,0.2527018333421847,0.10689863824766563,0.566038250635848,900,COMPLETE
11,0.008494127324081393,2025-08-19 06:45:11.890571,2025-08-19 06:45:16.716740,0 days 00:00:04.826169,0.04502791192607471,0.19143233688269032,0.08775173414602515,0.49557400546442615,900,COMPLETE
12,0.0033820510810890782,2025-08-19 06:45:16.716946,2025-08-19 06:45:19.412318,0 days 00:00:02.695372,0.028951879318712247,0.3670428346353702,0.014527425076035069,0.5802670873975182,500,COMPLETE
13,0.0028306890303176615,2025-08-19 06:45:19.412537,2025-08-19 06:45:24.259748,0 days 00:00:04.847211,0.015760775585484957,0.44705370280597156,0.07076818985240166,0.47656495052845954,900,COMPLETE
14,0.0034106207209283618,2025-08-19 06:45:24.259971,2025-08-19 06:45:27.493807,0 days 00:00:03.233836,0.03674240625039704,0.6105547084985662,0.08377793393411474,0.595270264868238,600,COMPLETE
15,0.00736597538484776,2025-08-19 06:45:27.494010,2025-08-19 06:45:32.883294,0 days 00:00:05.389284,0.02420743343326641,0.17987240495674167,0.2646166055419323,0.5650336370657647,1000,COMPLETE
16,0.007102314000456698,2025-08-19 06:45:32.883521,2025-08-19 06:45:37.194881,0 days 00:00:04.311360,0.04439218102266123,0.4079041870220111,0.004264682523361386,0.5227232248212254,800,COMPLETE
17,0.007944065315348315,2025-08-19 06:45:37.195109,2025-08-19 06:45:41.506185,0 days 00:00:04.311076,0.05655518330239649,0.6164237183619607,0.18667011644262674,0.3687263369581081,800,COMPLETE
18,0.005269817053613863,2025-08-19 06:45:41.506397,2025-08-19 06:45:44.751300,0 days 00:00:03.244903,0.024373600895719032,0.09818496473874341,0.13273957581070941,0.5088178261087559,600,COMPLETE
19,0.008484962027703605,2025-08-19 06:45:44.751510,2025-08-19 06:45:50.113194,0 days 00:00:05.361684,0.04682122718672981,0.4865155438975536,0.07593610347593618,0.5441440789361306,1000,COMPLETE
20,0.005247959027690385,2025-08-19 06:45:50.113385,2025-08-19 06:45:52.281829,0 days 00:00:02.168444,0.05176599636481802,0.6257375293674524,0.00909348401594483,0.48695427630918187,400,COMPLETE
21,0.006161606091489199,2025-08-19 06:45:52.282044,2025-08-19 06:45:56.567063,0 days 00:00:04.285019,0.047624841393289055,0.193264116504005,0.1497448643135551,0.4241016776788909,800,COMPLETE
22,0.0050401217920038955,2025-08-19 06:45:56.567271,2025-08-19 06:46:00.860059,0 days 00:00:04.292788,0.037348470201890055,0.33983235847481963,0.10490964748205356,0.5379355397465533,800,COMPLETE
23,0.0072011821674923945,2025-08-19 06:46:00.860266,2025-08-19 06:46:06.235442,0 days 00:00:05.375176,0.05389239640082147,0.14899057331563442,0.08833598926118215,0.5295201346619276,1000,COMPLETE
24,0.0031671833651403993,2025-08-19 06:46:06.235639,2025-08-19 06:46:10.540853,0 days 00:00:04.305214,0.015353468900039961,0.1521050121672324,0.002466468695579556,0.5940103117831761,800,COMPLETE
25,0.004326448193896178,2025-08-19 06:46:10.541050,2025-08-19 06:46:15.382409,0 days 00:00:04.841359,0.0332284166160263,0.11723004127579546,0.019819797862920523,0.44912763048303717,900,COMPLETE
26,0.0029136389159859686,2025-08-19 06:46:15.382625,2025-08-19 06:46:19.684978,0 days 00:00:04.302353,0.06085867574080055,0.2840920184053632,0.020517746398585966,0.5273784773706205,800,COMPLETE
27,0.004484883587429961,2025-08-19 06:46:19.685190,2025-08-19 06:46:22.384381,0 days 00:00:02.699191,0.016898968966721644,0.5714426058219513,0.06539055175734143,0.37868372805170325,500,COMPLETE
28,0.006935886670461426,2025-08-19 06:46:22.384616,2025-08-19 06:46:26.150845,0 days 00:00:03.766229,0.061169622531468314,0.4169890820204654,0.18925894001153432,0.5438691291239567,700,COMPLETE
29,0.010918839753298853,2025-08-19 06:46:26.151043,2025-08-19 06:46:31.555995,0 days 00:00:05.404952,0.060358836672860496,0.325777252929768,0.09932206027198638,0.30886139515826755,1000,COMPLETE
30,0.014477659492062719,2025-08-19 06:46:31.556232,2025-08-19 06:46:36.953540,0 days 00:00:05.397308,0.06145778611437242,0.4669149923036774,0.01759971209872348,0.3225056725806838,1000,COMPLETE
31,0.01435566084643158,2025-08-19 06:46:36.953781,2025-08-19 06:46:42.323161,0 days 00:00:05.369380,0.06631407666506695,0.3248905743938325,0.12383256254284938,0.32784505313516926,1000,COMPLETE
32,0.006663093580917741,2025-08-19 06:46:42.323364,2025-08-19 06:46:47.723495,0 days 00:00:05.400131,0.06677277971837028,0.38238523919018635,0.013039457374342788,0.2376279006258001,1000,COMPLETE
33,0.003944330578540098,2025-08-19 06:46:47.723722,2025-08-19 06:46:53.103871,0 days 00:00:05.380149,0.046787497823644525,0.6190595995845624,0.01345244574031111,0.2550645975394261,1000,COMPLETE
34,0.006759022943285423,2025-08-19 06:46:53.104085,2025-08-19 06:46:57.425112,0 days 00:00:04.321027,0.061310000031219405,0.44183008797720835,0.04432086941525191,0.20937743643274961,800,COMPLETE
35,0.008750323657739227,2025-08-19 06:46:57.425349,2025-08-19 06:47:02.814010,0 days 00:00:05.388661,0.06740081664915182,0.6355928020672658,0.004483122702039248,0.3281830067119082,1000,COMPLETE
36,0.0027679925029417338,2025-08-19 06:47:02.814214,2025-08-19 06:47:05.508284,0 days 00:00:02.694070,0.04851818361534009,0.4213714849945861,0.0996015919763234,0.5451509749662241,500,COMPLETE
37,0.011683516726603005,2025-08-19 06:47:05.508508,2025-08-19 06:47:10.884277,0 days 00:00:05.375769,0.06780807507033901,0.20958537488550766,0.24396471999771055,0.39660550484985596,1000,COMPLETE
38,0.00384870415437481,2025-08-19 06:47:10.884507,2025-08-19 06:47:15.743577,0 days 00:00:04.859070,0.0691356414179563,0.13482394731868338,0.05885993880992191,0.4136985243445982,900,COMPLETE
39,0.00777017681502725,2025-08-19 06:47:15.743776,2025-08-19 06:47:21.149951,0 days 00:00:05.406175,0.06906496793535652,0.16423249098974776,0.2916675100999109,0.2809414702912004,1000,COMPLETE
40,0.0073489336958334345,2025-08-19 06:47:21.150187,2025-08-19 06:47:26.550818,0 days 00:00:05.400631,0.06474609384121849,0.29820332163336877,0.04248602083035959,0.43738830279107965,1000,COMPLETE
41,0.007318592059039766,2025-08-19 06:47:26.551044,2025-08-19 06:47:31.411125,0 days 00:00:04.860081,0.06920084049744288,0.4073883973602508,0.23716361767960104,0.38867272127206276,900,COMPLETE
42,0.006479800437512973,2025-08-19 06:47:31.411323,2025-08-19 06:47:36.796308,0 days 00:00:05.384985,0.06730368501223913,0.1840054314891328,0.19099025043540982,0.5409716748219456,1000,COMPLETE
43,0.006848830120424925,2025-08-19 06:47:36.796541,2025-08-19 06:47:41.661567,0 days 00:00:04.865026,0.010656407745041077,0.3328699040222879,0.20071461243907376,0.20851118313728978,900,COMPLETE
44,0.011521138931860854,2025-08-19 06:47:41.661768,2025-08-19 06:47:44.905815,0 days 00:00:03.244047,0.03252575103880456,0.3372499467754253,0.01967873784012543,0.3673358120474922,600,COMPLETE
45,0.006960547850148246,2025-08-19 06:47:44.906010,2025-08-19 06:47:48.149682,0 days 00:00:03.243672,0.032627621937304514,0.3863651636833498,0.014423735971353414,0.27731881848538875,600,COMPLETE
46,0.0021386577080584612,2025-08-19 06:47:48.149902,2025-08-19 06:47:50.855751,0 days 00:00:02.705849,0.01898279424752709,0.2078065643023496,0.0013580812578902115,0.3425465602497961,500,COMPLETE
47,0.005357934494518428,2025-08-19 06:47:50.855985,2025-08-19 06:47:56.218646,0 days 00:00:05.362661,0.06529284017979314,0.5497481627323745,0.09366617898643201,0.2850419450198427,1000,COMPLETE
48,0.0045963909877138895,2025-08-19 06:47:56.218867,2025-08-19 06:47:59.994881,0 days 00:00:03.776014,0.023490748870691844,0.22499116399065655,0.04309107298066662,0.2804424411679144,700,COMPLETE
49,0.003994373466350478,2025-08-19 06:47:59.995079,2025-08-19 06:48:04.312034,0 days 00:00:04.316955,0.029766930273376666,0.1018940755237599,0.0001288869797715924,0.05319765931672582,800,COMPLETE
50,0.00607310864032299,2025-08-19 06:48:04.312227,2025-08-19 06:48:22.427001,0 days 00:00:18.114774,0.02393192113329242,0.3508037759694621,0.0122393147221689,0.41884705491345336,700,COMPLETE
51,0.004257880942176135,2025-08-19 06:48:22.427228,2025-08-19 06:48:45.680244,0 days 00:00:23.253016,0.05332221485377389,0.40814596677182313,0.00014113865119737114,0.0727647391073254,900,COMPLETE
52,0.0036841515383568583,2025-08-19 06:48:45.680466,2025-08-19 06:48:56.057159,0 days 00:00:10.376693,0.05118162164562187,0.3882250955970291,0.007963155476737383,0.0675054433486118,400,COMPLETE
53,0.005039445646155667,2025-08-19 06:48:56.057384,2025-08-19 06:49:11.555372,0 days 00:00:15.497988,0.03968038368770266,0.09975129983397951,0.03777750271857178,0.1138959229704061,600,COMPLETE
