number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,0.021975547300188858,2025-08-19 11:14:34.217085,2025-08-19 11:14:37.082316,0 days 00:00:02.865231,0.03295984362271353,0.7758992277599679,0.002924707653592729,0.469108744147346,150,COMPLETE
1,0.08199164646540405,2025-08-19 11:14:37.082828,2025-08-19 11:14:39.028926,0 days 00:00:01.946098,0.04101762088554022,0.41697162293745327,0.004996017591916143,0.18238859552939107,150,COMPLETE
2,0.005254616489085233,2025-08-19 11:14:39.029152,2025-08-19 11:14:39.235900,0 days 00:00:00.206748,0.015663995537354924,0.1864106832608411,0.0005352460095683955,0.5351725886301052,100,COMPLETE
3,0.031114601442953364,2025-08-19 11:14:39.236119,2025-08-19 11:14:39.499060,0 days 00:00:00.262941,0.054316952326044256,0.6951119640005148,0.0003810695677343731,0.5249856254884095,150,COMPLETE
4,0.11301898079164875,2025-08-19 11:14:39.499262,2025-08-19 11:14:39.969916,0 days 00:00:00.470654,0.04371620514324299,0.5493988776708129,0.013618951407465265,0.14766206081556016,300,COMPLETE
5,0.027996373751574023,2025-08-19 11:14:39.970131,2025-08-19 11:14:40.221961,0 days 00:00:00.251830,0.021126619377419067,0.40886089460542774,0.002117839126927203,0.1191941732118726,150,COMPLETE
6,0.054728682095193826,2025-08-19 11:14:40.222182,2025-08-19 11:14:40.626941,0 days 00:00:00.404759,0.01810969111905244,0.6688916448193729,0.0008847820095947575,0.10345355504805559,250,COMPLETE
7,0.002246220979169263,2025-08-19 11:14:40.627158,2025-08-19 11:14:40.797519,0 days 00:00:00.170361,0.010470033403946031,0.6509954467468995,0.0004544306140153484,0.22929541472896664,100,COMPLETE
8,0.06407240796024878,2025-08-19 11:14:40.797725,2025-08-19 11:14:41.275889,0 days 00:00:00.478164,0.026249665930263386,0.19476038515854432,0.1287244320899298,0.25480253400467384,300,COMPLETE
9,0.03303173512657366,2025-08-19 11:14:41.276078,2025-08-19 11:14:41.458259,0 days 00:00:00.182181,0.05068374435381335,0.3579813950765481,0.005839129234819848,0.2678326571864076,100,COMPLETE
