metric,value
valid_outputs,38800
min_mc_norm,1.6085222028811546e+146
max_mc_norm,1.5147213533761903e+151
best_cim_norm,8.398236307516542e+143
mean_cim_norm,8.803630103514586e+148
best_percentile_uniform,0.0
mean_percentile_uniform_of_mean,0.01574
quantile_10percent,9.063155872875854e+146
quantile_25percent,2.436914880702567e+147
quantile_50percent,5.925963850039169e+147
quantile_75percent,1.2411775672565868e+148
quantile_90percent,2.2912433520705554e+148
within_1.0x_min_mc,0.017242268041237113
within_1.1x_min_mc,0.0188659793814433
within_1.5x_min_mc,0.02556701030927835
within_2.0x_min_mc,0.034922680412371135
max_abs_scale_for_G,2.0352192992203845e+300
sim_time_sec,2979.3840279579163
