X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
6,0.01,0.1,0.05,0.0,2.71143669077007e+148,2.5385359719937006,0.07
6,0.01,0.1,0.05,0.05,1.2151336800034905e+148,1.1376480107281703,0.87
6,0.01,0.1,0.05,0.1,1.1759975222847553e+148,1.1010074561052952,0.9
6,0.01,0.1,0.05,0.15,1.0778944466423017e+148,1.009160138655719,0.99
6,0.01,0.1,0.2,0.0,1.0778944466423017e+148,1.009160138655719,0.99
6,0.01,0.1,0.2,0.05,1.2269840906253302e+149,11.487427538762732,0.05
6,0.01,0.1,0.2,0.1,1.9467703568229452e+148,1.8226302671306354,0.41
6,0.01,0.1,0.2,0.15,1.8975874783289108e+148,1.7765836429596529,0.45
6,0.01,0.1,0.4,0.0,1.1914631811495228e+149,11.154869132478646,0.03
6,0.01,0.1,0.4,0.05,1.3246514666555737e+148,1.240182155056831,0.78
6,0.01,0.1,0.4,0.1,1.1499067471555948e+148,1.0765804165848696,0.97
6,0.01,0.1,0.4,0.15,1.0419275601404818e+149,9.754867597063642,0.1
6,0.01,0.1,0.6,0.0,1.4081636394974204e+149,13.18368990685353,0.06
6,0.01,0.1,0.6,0.05,1.5329123685003055e+149,14.351628428569036,0.06
6,0.01,0.1,0.6,0.1,1.5137235628024386e+149,14.171976535203978,0.05
6,0.01,0.1,0.6,0.15,1.080074933498072e+149,10.11201581975666,0.08
6,0.01,0.3,0.05,0.0,1.068110407212618e+148,1.0000000000000002,1.0
6,0.01,0.3,0.05,0.05,1.0977252068472848e+148,1.0277263468595452,0.99
6,0.01,0.3,0.05,0.1,1.2053496405738067e+148,1.1284878720724514,0.87
6,0.01,0.3,0.05,0.15,1.2936686767865766e+148,1.2111750508663093,0.79
6,0.01,0.3,0.2,0.0,1.435419998676527e+149,13.43887288227492,0.0
6,0.01,0.3,0.2,0.05,1.2648419211887563e+148,1.1841864966839304,0.85
6,0.01,0.3,0.2,0.1,1.3140247996827908e+148,1.230233120854913,0.82
6,0.01,0.3,0.2,0.15,1.226285709667504e+148,1.1480889067148654,0.86
6,0.01,0.3,0.4,0.0,1.450534558335646e+149,13.580380347767765,0.02
6,0.01,0.3,0.4,0.05,1.3260194568899032e+148,1.2414629123878071,0.79
6,0.01,0.3,0.4,0.1,1.3349608687764885e+148,1.2498341554973271,0.79
6,0.01,0.3,0.4,0.15,1.3632076781768257e+148,1.2762797450258958,0.78
6,0.01,0.3,0.6,0.0,1.0355442256031284e+149,9.695104725227091,0.09
6,0.01,0.3,0.6,0.05,1.402343835895561e+148,1.312920299648771,0.74
6,0.01,0.3,0.6,0.1,1.382250394344962e+148,1.2941081605525557,0.73
6,0.01,0.3,0.6,0.15,1.4605774296626022e+148,1.3674405003450734,0.71
6,0.01,0.5,0.05,0.0,1.5498969483502083e+149,14.510643636502703,0.06
6,0.01,0.5,0.05,0.05,1.2444857982925419e+148,1.1651284266953266,0.83
6,0.01,0.5,0.05,0.1,1.1971962727240685e+148,1.1208544216400982,0.9
6,0.01,0.5,0.05,0.15,1.2153963613491063e+148,1.1378939416205591,0.88
6,0.01,0.5,0.2,0.0,1.4881864774301585e+149,13.932889965128114,0.06
6,0.01,0.5,0.2,0.05,1.3134994369915598e+148,1.2297412590701355,0.8
6,0.01,0.5,0.2,0.1,1.2643165584975252e+148,1.1836946348991528,0.82
