X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
3,0.01,0.1,0.05,0.0,7.937794865954292e+147,1.5858095949788487,0.76
3,0.01,0.1,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.2,0.0,4.475390519885912e+148,8.9409179092703,0.23
3,0.01,0.1,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.4,0.0,4.1629305834714573e+148,8.31668665414205,0.33
3,0.01,0.1,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.4,0.15,5.103713013434648e+147,1.019617816206953,0.99
3,0.01,0.1,0.6,0.0,4.4461226363250083e+148,8.88244664444249,0.28
3,0.01,0.1,0.6,0.05,5.103713013434648e+147,1.019617816206953,0.99
3,0.01,0.1,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.1,0.6,0.15,5.103713013434648e+147,1.019617816206953,0.99
3,0.01,0.3,0.05,0.0,4.699281594823142e+148,9.38820663474293,0.2
3,0.01,0.3,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.2,0.0,4.6565095718355535e+148,9.302756852283453,0.28
3,0.01,0.3,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.4,0.0,4.215331032513595e+148,8.42137206901543,0.22
3,0.01,0.3,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.6,0.0,4.4380494615592705e+148,8.866318087051368,0.27
3,0.01,0.3,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.3,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.05,0.0,4.7554720701618416e+148,9.50046374952517,0.26
3,0.01,0.5,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.2,0.0,4.484037602747536e+148,8.958193018040564,0.3
3,0.01,0.5,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.4,0.0,4.674019869957213e+148,9.337738858295435,0.24
3,0.01,0.5,0.4,0.05,5.201910300966423e+147,1.0392356324139058,0.98
3,0.01,0.5,0.4,0.1,5.103713013434648e+147,1.019617816206953,0.99
3,0.01,0.5,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.6,0.0,4.64630723768512e+148,9.282374668490409,0.25
3,0.01,0.5,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.5,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.05,0.0,4.9637298462876913e+148,9.91652033096421,0.24
3,0.01,0.7,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.2,0.0,5.409382836777456e+148,10.806844155507543,0.16
3,0.01,0.7,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.4,0.0,5.270628372718361e+148,10.529641022689363,0.19
3,0.01,0.7,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.6,0.0,4.426291876120025e+148,8.842828828235536,0.28
