pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.01,0.1,0.05,0.0,0.01,0.1,0.05,0.05,0.970691045447295,4.3534647602281745e+147
0.01,0.1,0.05,0.05,0.01,0.3,0.05,0.05,0.9872168033300124,4.2805888687970365e+147
0.01,0.1,0.05,0.1,0.011538461538461539,0.1,0.05,0.1,0.9948471997768125,4.247757103173121e+147
0.01,0.1,0.05,0.15,0.01,0.1,0.05,0.15,0.9872168033300125,4.280588868797036e+147
0.01,0.1,0.2,0.0,0.011538461538461539,0.1,0.2,0.05,0.2606128921536488,1.621511976825924e+148
0.01,0.1,0.2,0.05,0.01,0.1,0.2,0.05,1.0,4.225869259423844e+147
0.01,0.1,0.2,0.1,0.01,0.1,0.2,0.1,0.04101388531074497,1.0303508744431816e+149
0.01,0.1,0.2,0.15,0.011538461538461539,0.1,0.2,0.15,0.9821945687935796,4.302476712546313e+147
0.01,0.1,0.4,0.0,0.013076923076923078,0.1,0.4,0.05,0.05306766975358105,7.963170945787908e+148
0.01,0.1,0.4,0.05,0.01,0.1,0.4,0.05,1.0,4.225869259423844e+147
0.01,0.1,0.4,0.1,0.011538461538461539,0.1,0.4,0.1,0.897245330138158,4.7098258608636545e+147
0.01,0.1,0.4,0.15,0.01,0.1,0.4,0.15,0.9719126628068637,4.3479927992908546e+147
0.01,0.1,0.6,0.0,0.011538461538461539,0.1,0.4,0.0,0.03902027659030021,1.082993158606755e+149
0.01,0.1,0.6,0.05,0.01,0.1,0.6,0.05,0.5260575763391291,8.033092667977447e+147
0.01,0.1,0.6,0.1,0.01,0.1,0.6,0.1,0.041448467094191865,1.0195477796128223e+149
0.01,0.1,0.6,0.15,0.01,0.1,0.6,0.15,0.9276052001185161,4.5556765517096316e+147
0.01,0.3,0.05,0.0,0.011538461538461539,0.1,0.2,0.0,0.039865991097181794,1.0600186131388012e+149
0.01,0.3,0.05,0.05,0.01,0.3,0.05,0.05,0.9834453308066479,4.297004751608993e+147
0.01,0.3,0.05,0.1,0.011538461538461539,0.3,0.05,0.1,0.996130415033039,4.2422851422358016e+147
0.01,0.3,0.05,0.15,0.01,0.3,0.05,0.15,0.6111399027405031,6.91473301035327e+147
0.01,0.3,0.2,0.0,0.01,0.3,0.2,0.05,0.979307429422346,4.3151610336669396e+147
0.01,0.3,0.2,0.05,0.011538461538461539,0.3,0.2,0.05,0.0455682962882315,9.273704754494452e+148
0.01,0.3,0.2,0.1,0.01,0.3,0.2,0.1,0.06186541606393009,6.830745719154207e+148
0.01,0.3,0.2,0.15,0.01,0.3,0.2,0.15,0.9473104347086869,4.4609128165292155e+147
0.01,0.3,0.4,0.0,0.01,0.1,0.6,0.0,0.047722408842702915,8.855104681225681e+148
0.01,0.3,0.4,0.05,0.011538461538461539,0.5,0.4,0.05,0.9821945687935796,4.302476712546313e+147
0.01,0.3,0.4,0.1,0.011538461538461539,0.3,0.4,0.1,0.04286590922481502,9.858345094841692e+148
0.01,0.3,0.4,0.15,0.011538461538461539,0.3,0.4,0.15,0.5846971221264518,7.227450075442513e+147
0.01,0.3,0.6,0.0,0.011538461538461539,0.3,0.6,0.05,0.041520786229540044,1.0177719747554638e+149
0.01,0.3,0.6,0.05,0.01,0.1,0.6,0.05,1.0,4.225869259423844e+147
0.01,0.3,0.6,0.1,0.01,0.3,0.6,0.1,0.5725358013090142,7.380969451625646e+147
0.01,0.3,0.6,0.15,0.01,0.3,0.6,0.15,0.9382640387710055,4.5039232932332575e+147
0.01,0.5,0.05,0.0,0.013076923076923078,0.5,0.05,0.0,0.040969879408203784,1.0314575782172447e+149
0.01,0.5,0.05,0.05,0.011538461538461539,0.5,0.05,0.05,0.9948471997768125,4.247757103173121e+147
0.01,0.5,0.05,0.1,0.013076923076923078,0.5,0.05,0.1,0.04211332075340879,1.0034519206329242e+149
0.01,0.5,0.05,0.15,0.01,0.3,0.05,0.15,0.9935672863431075,4.253229064110439e+147
0.01,0.5,0.2,0.0,0.011538461538461539,0.5,0.2,0.05,0.9948471997768125,4.247757103173121e+147
0.01,0.5,0.2,0.05,0.01,0.5,0.2,0.05,0.9846992824124376,4.291532790671675e+147
0.01,0.5,0.2,0.1,0.01,0.5,0.2,0.1,0.6337754664735633,6.667770342921783e+147
0.01,0.5,0.2,0.15,0.01,0.5,0.2,0.15,0.9784612990759707,4.318892595358271e+147
0.01,0.5,0.4,0.0,0.01,0.5,0.6,0.0,0.41077814504325694,1.0287473446229325e+148
0.01,0.5,0.4,0.05,0.013076923076923078,0.5,0.4,0.05,0.7094226527173771,5.956772374320226e+147
0.01,0.5,0.4,0.1,0.011538461538461539,0.7,0.4,0.1,0.9859564358272905,4.286060829734355e+147
0.01,0.5,0.4,0.15,0.011538461538461539,0.5,0.4,0.15,0.9666595568434595,4.371621042286121e+147
0.01,0.5,0.6,0.0,0.011538461538461539,0.5,0.6,0.05,0.26274185874792794,1.6083730546635523e+148
0.01,0.5,0.6,0.05,0.01,0.3,0.6,0.05,0.9244293949227343,4.571327223727076e+147
0.01,0.5,0.6,0.1,0.011538461538461539,0.5,0.6,0.1,0.8167520542356989,5.1739928139860424e+147
0.01,0.5,0.6,0.15,0.013076923076923078,0.5,0.6,0.15,0.9747563018185561,4.335308478170228e+147
0.01,0.7,0.05,0.0,0.011538461538461539,0.7,0.05,0.05,0.9935672863431074,4.25322906411044e+147
0.01,0.7,0.05,0.05,0.01,0.7,0.05,0.05,0.051350134224139476,8.229519402964445e+148
0.01,0.7,0.05,0.1,0.01,0.7,0.05,0.1,0.03941177570848194,1.0722351843980428e+149
0.01,0.7,0.05,0.15,0.011538461538461539,0.7,0.05,0.15,0.6199615704901624,6.816340658151973e+147
0.01,0.7,0.2,0.0,0.01,0.7,0.2,0.05,0.9780671639320536,4.3206329946042594e+147
0.01,0.7,0.2,0.05,0.01,0.5,0.2,0.05,0.25634020187656487,1.648539413048727e+148
0.01,0.7,0.2,0.1,0.011538461538461539,0.7,0.2,0.1,0.03810228975630759,1.1090853821256971e+149
0.01,0.7,0.2,0.15,0.01,0.7,0.05,0.15,0.9755960337093629,4.331576916478897e+147
0.01,0.7,0.4,0.0,0.013076923076923078,0.7,0.4,0.05,0.9719126628068635,4.347992799290856e+147
0.01,0.7,0.4,0.05,0.011538461538461539,0.7,0.4,0.05,0.641638361021668,6.586060803308387e+147
0.01,0.7,0.4,0.1,0.011538461538461539,0.7,0.4,0.1,0.9606473422888385,4.3989808469727166e+147
0.01,0.7,0.4,0.15,0.01,0.7,0.4,0.1,0.9580514861669417,4.41089995729883e+147
0.01,0.7,0.6,0.0,0.01,0.5,0.6,0.0,0.04891670423718636,8.638908375620589e+148
0.01,0.7,0.6,0.05,0.013076923076923078,0.7,0.6,0.05,0.6161011795154666,6.859050753233882e+147
0.01,0.7,0.6,0.1,0.01,0.7,0.4,0.1,0.6806749989078611,6.208350925484593e+147
0.01,0.7,0.6,0.15,0.011538461538461539,0.7,0.4,0.15,0.9809469842189613,4.307948673483632e+147
0.011538461538461539,0.1,0.05,0.0,0.011538461538461539,0.1,0.05,0.05,0.9922906620044907,4.258701025047759e+147
0.011538461538461539,0.1,0.05,0.05,0.011538461538461539,0.1,0.05,0.05,0.9855562405416757,4.287801228980344e+147
0.011538461538461539,0.1,0.05,0.1,0.011538461538461539,0.1,0.05,0.1,0.05831753171957604,7.246310217216041e+148
0.011538461538461539,0.1,0.05,0.15,0.011538461538461539,0.1,0.05,0.15,0.058172935087543926,7.264321893100927e+148
0.011538461538461539,0.1,0.2,0.0,0.013076923076923078,0.1,0.2,0.05,0.9884803972622757,4.2751169078597166e+147
0.011538461538461539,0.1,0.2,0.05,0.01,0.1,0.2,0.05,0.9780671639320538,4.320632994604259e+147
0.011538461538461539,0.1,0.2,0.1,0.011538461538461539,0.1,0.2,0.1,0.9935672863431074,4.25322906411044e+147
0.011538461538461539,0.1,0.2,0.15,0.013076923076923078,0.1,0.2,0.15,0.9846992824124376,4.291532790671675e+147
0.011538461538461539,0.1,0.4,0.0,0.011538461538461539,0.3,0.6,0.0,0.15519093882743448,2.723012884226975e+148
0.011538461538461539,0.1,0.4,0.05,0.01,0.1,0.2,0.05,0.9658351319119474,4.375352603977451e+147
0.011538461538461539,0.1,0.4,0.1,0.011538461538461539,0.1,0.4,0.1,0.041263736924208455,1.0241121077292994e+149
0.011538461538461539,0.1,0.4,0.15,0.01,0.1,0.4,0.15,0.9646287352541035,4.380824564914771e+147
0.011538461538461539,0.1,0.6,0.0,0.011538461538461539,0.1,0.6,0.0,0.0402774117430932,1.049190868166572e+149
