pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.01,0.1,0.05,0.0,0.020909090909090912,0.1,0.05,0.0,0.14957152663006607,2.8253166592834537e+148
0.01,0.1,0.05,0.05,0.01,0.1,0.05,0.05,0.054821361643761675,7.70843542136776e+148
0.01,0.1,0.05,0.1,0.015454545454545455,0.1,0.05,0.1,0.5859876567232777,7.211532889709717e+147
0.01,0.1,0.05,0.15,0.015454545454545455,0.1,0.05,0.15,0.7217460086951712,5.8550642587739424e+147
0.01,0.1,0.2,0.0,0.020909090909090912,0.1,0.2,0.05,0.24615305363965595,1.7167649139181935e+148
0.01,0.1,0.2,0.05,0.015454545454545455,0.1,0.2,0.05,0.9942068311291452,4.250493083641781e+147
0.01,0.1,0.2,0.1,0.01,0.1,0.2,0.1,1.0,4.225869259423844e+147
0.01,0.1,0.2,0.15,0.015454545454545455,0.1,0.2,0.15,0.95068946579664,4.4450574151284336e+147
0.01,0.1,0.4,0.0,0.04272727272727273,0.1,0.4,0.0,0.07210940986918261,5.860357569268991e+148
0.01,0.1,0.4,0.05,0.01,0.1,0.4,0.05,0.03854823777004641,1.096254849477846e+149
0.01,0.1,0.4,0.1,0.015454545454545455,0.1,0.4,0.1,0.9844996541514718,4.292402990294668e+147
0.01,0.1,0.4,0.15,0.020909090909090912,0.1,0.4,0.15,0.9926095104300516,4.257333034813429e+147
0.01,0.1,0.6,0.0,0.03727272727272728,0.1,0.6,0.05,0.9961304150330389,4.242285142235802e+147
0.01,0.1,0.6,0.05,0.01,0.1,0.6,0.05,0.8865780122444828,4.7664945453875276e+147
0.01,0.1,0.6,0.1,0.026363636363636367,0.1,0.6,0.05,0.9938869558528235,4.25186107387611e+147
0.01,0.1,0.6,0.15,0.020909090909090912,0.1,0.6,0.15,0.9838725331564362,4.2951389707633284e+147
0.01,0.3,0.05,0.0,0.015454545454545455,0.7,0.05,0.0,1.0,4.225869259423844e+147
0.01,0.3,0.05,0.05,0.015454545454545455,0.3,0.05,0.05,0.9964517362546153,4.240917152001471e+147
0.01,0.3,0.05,0.1,0.015454545454545455,0.3,0.05,0.1,0.5947408263220699,7.105396287584618e+147
0.01,0.3,0.05,0.15,0.015454545454545455,0.3,0.05,0.15,0.9958093009746214,4.2436531324701314e+147
0.01,0.3,0.2,0.0,0.020909090909090912,0.3,0.2,0.05,0.9974169449049713,4.236813181298482e+147
