number,value,datetime_start,datetime_complete,duration,params_dt,params_mu,params_noise,params_r,params_steps,state
0,4.413142096419463e-06,2025-08-18 00:43:03.837210,2025-08-18 00:43:09.609196,0 days 00:00:05.771986,0.05539491161275571,0.5841137384547853,0.0001119921041907623,0.08781946607927403,500,COMPLETE
1,1.3566968224140061e-05,2025-08-18 00:43:09.609533,2025-08-18 00:43:12.388883,0 days 00:00:02.779350,0.032112471215033155,0.7983447379907612,0.1289246978976424,0.511428256779366,500,COMPLETE
2,2.6785923784110483e-06,2025-08-18 00:43:12.389126,2025-08-18 00:43:14.645183,0 days 00:00:02.256057,0.0554897460742475,0.17654690790092092,0.006216499288662259,0.5054342787954735,400,COMPLETE
3,3.67759232162175e-06,2025-08-18 00:43:14.645359,2025-08-18 00:43:16.910651,0 days 00:00:02.265292,0.0640914904307418,0.7323920648761183,0.00017310807248664572,0.07123473309905987,400,COMPLETE
4,1.8395356736600268e-05,2025-08-18 00:43:16.910913,2025-08-18 00:43:20.303451,0 days 00:00:03.392538,0.05391637217310716,0.741198456455449,0.006285453361676105,0.5747287803010966,600,COMPLETE
5,6.008871902815075e-05,2025-08-18 00:43:20.303632,2025-08-18 00:43:23.088351,0 days 00:00:02.784719,0.0104098946746418,0.2340232376822638,0.00014300574473311546,0.4114450262079987,500,COMPLETE
6,0.00012579895222901262,2025-08-18 00:43:23.088586,2025-08-18 00:43:27.587755,0 days 00:00:04.499169,0.022241892751491712,0.7973068500280335,0.000171532757630297,0.28177257366011854,800,COMPLETE
7,0.00022055435138059682,2025-08-18 00:43:27.587962,2025-08-18 00:43:29.855032,0 days 00:00:02.267070,0.014233340044690799,0.6405424632062006,0.04935137317550298,0.09069212670736713,400,COMPLETE
8,5.471689802893984e-06,2025-08-18 00:43:29.855245,2025-08-18 00:43:32.649221,0 days 00:00:02.793976,0.028044564522065874,0.5513601913899174,0.006886593535898735,0.33904048281989363,500,COMPLETE
9,2.9721800914702796e-05,2025-08-18 00:43:32.649469,2025-08-18 00:43:37.144762,0 days 00:00:04.495293,0.029590064171572852,0.6088767506347145,0.004547813778030705,0.2481584162011053,800,COMPLETE
